2026-01-01 18:44:05,699 INFO    Thread-12 (_run_job):13188 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-01-01 18:44:05,700 INFO    Thread-12 (_run_job):13188 [wandb_setup.py:_flush():80] Configure stats pid to 13188
2026-01-01 18:44:05,700 INFO    Thread-12 (_run_job):13188 [wandb_setup.py:_flush():80] Loading settings from C:\Users\HP\.config\wandb\settings
2026-01-01 18:44:05,700 INFO    Thread-12 (_run_job):13188 [wandb_setup.py:_flush():80] Loading settings from C:\Users\HP\Documents\repos\mlops-weights-&-biases\wandb\settings
2026-01-01 18:44:05,700 INFO    Thread-12 (_run_job):13188 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-01-01 18:44:05,700 INFO    Thread-12 (_run_job):13188 [wandb_init.py:setup_run_log_directory():714] Logging user logs to C:\Users\HP\Documents\repos\mlops-weights-&-biases\wandb\run-20260101_184405-ctq9jvsg\logs\debug.log
2026-01-01 18:44:05,700 INFO    Thread-12 (_run_job):13188 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to C:\Users\HP\Documents\repos\mlops-weights-&-biases\wandb\run-20260101_184405-ctq9jvsg\logs\debug-internal.log
2026-01-01 18:44:05,700 INFO    Thread-12 (_run_job):13188 [wandb_init.py:init():841] calling init triggers
2026-01-01 18:44:05,700 INFO    Thread-12 (_run_job):13188 [wandb_init.py:init():846] wandb.init called with sweep_config: {'architecture': 'CNN', 'batch_size': 64, 'classes': 10, 'dataset': 'MNIST', 'db_path': 'data/mnist.db', 'epochs': 3, 'kernels': [16, 32], 'learning_rate': 0.0009651626365775687, 'model_path': 'model/mnist.onnx'}
config: {'_wandb': {}}
2026-01-01 18:44:05,700 INFO    Thread-12 (_run_job):13188 [wandb_init.py:init():889] starting backend
2026-01-01 18:44:07,938 INFO    Thread-12 (_run_job):13188 [wandb_init.py:init():892] sending inform_init request
2026-01-01 18:44:07,940 INFO    Thread-12 (_run_job):13188 [wandb_init.py:init():900] backend started and connected
2026-01-01 18:44:07,941 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_config_callback():1396] config_cb None None {'architecture': 'CNN', 'batch_size': 64, 'classes': 10, 'dataset': 'MNIST', 'db_path': 'data/mnist.db', 'epochs': 3, 'kernels': [16, 32], 'learning_rate': 0.0009651626365775687, 'model_path': 'model/mnist.onnx'}
2026-01-01 18:44:07,941 INFO    Thread-12 (_run_job):13188 [wandb_init.py:init():970] updated telemetry
2026-01-01 18:44:07,975 INFO    Thread-12 (_run_job):13188 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-01-01 18:44:09,481 INFO    Thread-12 (_run_job):13188 [wandb_init.py:init():1041] starting run threads in backend
2026-01-01 18:44:09,574 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_console_start():2521] atexit reg
2026-01-01 18:44:09,574 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-01-01 18:44:09,574 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-01-01 18:44:09,574 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_redirect():2461] Redirects installed.
2026-01-01 18:44:09,575 INFO    Thread-12 (_run_job):13188 [wandb_init.py:init():1081] run started, returning control to user process
2026-01-01 18:44:09,576 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_finish():2287] finishing run kokrhui-ong-tng-digital/pytorch-sqlite-sweeps/ctq9jvsg
2026-01-01 18:44:09,577 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_atexit_cleanup():2486] got exitcode: 1
2026-01-01 18:44:09,577 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_restore():2468] restore
2026-01-01 18:44:09,577 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_restore():2474] restore done
2026-01-01 18:44:11,456 INFO    Thread-12 (_run_job):13188 [wandb_run.py:_footer_sync_info():3862] logging synced files
